Column1,Column2,Column1_emo,Column2_emo
면접 팁 좀 줘,먼저 연락해보세요.,neutral,neutral
면접만 남았어,좋은 결과 있을 거예요.,sadness,neutral
면접만 보면 돼,잘할 수 있을 거예요.,neutral,neutral
면접만 보면 떨려서 말을 못하겠어,긴장되겠네요.,sadness,neutral
면접이 코앞이야.,긴장되겠네요.,neutral,neutral
면허 따는 중,면허증 따면 더 좋죠.,angry,neutral
면허 따야하나,면허증 따면 돼요.,angry,neutral
면허 딸까봐,면허 따면 돼요.,sadness,neutral
면허 없는데,면허증 따면 돼요.,sadness,neutral
면허 없는데 따야겠지,면허증 따면 돼요.,angry,neutral
명절 다가오니까 스트레스,스트레스 받지 마세요.,angry,angry
명절 선물 뭐하지,정성이 담긴 선물이 좋겠어요.,neutral,sadness
명절 스트레스,스트레스 받지 마세요.,angry,angry
명품 선물 부담스러울까,부담스럽지 않은 선물을 해보세요.,sadness,neutral
명품 이제 사지 말아야겠어,명품은 명품이 아니에요.,neutral,neutral
몇 반 될지 궁금해,연락해보세요.,neutral,neutral
몇시간 동안 안와,많이 힘들었을텐데 힘내세요.,angry,sadness
모공 너무 커,모공 관리 해보세요.,neutral,neutral
모공 점점 커지는 것 같아,모공 관리 해보세요.,neutral,neutral
모기가 너무 많아.,모기약을 챙겨드세요.,sadness,neutral
모기가 웽웽거려.,모기 조심하세요.,neutral,neutral
모든 일이 어려워,힘들 때 옆에 있어주고 싶네요.,sadness,neutral
모르겠는데 노력하래,노력하면 할 수 있을 거예요.,sadness,sadness
모르는 걸까? 모르는 철 하는 걸까?,모르는 게 더 나을 수도 있어요.,neutral,neutral
모르는 게 너무 많아,모르는 게 더 많죠.,disgust,neutral
모르는 번호로 전화왔어,당황하셨겠어요.,neutral,neutral
모르는 번호에서 전화오면?,모르는 번호에 걸려서 그런가봐요.,neutral,sadness
모르는 사람 만나는거 너무 스트레스야,모르는 사람 만나는 건 스트레스죠.,angry,angry
모르는 사람들이 페친 신청해,좋은 소식이네요.,sadness,neutral
모르는 사람이 자꾸 쳐다봐,모르는 사람이 더 신경쓰이겠네요.,angry,neutral
모른 척 하는 건지 모르는 건지,모르는 척 하는 게 더 나을 수도 있어요.,sadness,neutral
모른 척 하는건가,모르는 척 하는게 더 나을 수도 있어요.,sadness,neutral
모른척 지나쳤어,잊어버리세요.,sadness,neutral
모른척 해줬어,고마운 마음이 전해졌길 바랍니다.,sadness,neutral
모임에서 만났어,좋은 만남이었길 바랍니다.,neutral,neutral
목 마르다.,목감기 조심하세요.,sadness,fear
목 말라,목감기 조심하세요.,neutral,fear
목 아파,목감기 조심하세요.,sadness,fear
목 탄다,목감기 조심하세요.,sadness,fear
목걸이 선물이 좋겠다.,목걸이는 정말 좋죠.,neutral,neutral
목걸이 선물해볼까?,직접 만들어보세요.,neutral,neutral
목돈 만들기,목돈 만들기가 쉽지 않죠.,sadness,sadness
목소리 좋은 사람이 좋아,목소리 톤이 좋으면 좋겠네요.,neutral,neutral
목욕탕 가서 때밀어야겠다.,목욕탕 가기 전에 씻고 오세요.,sadness,neutral
목욕탕 가야지,목욕탕 가기 좋은 계절이네요.,sadness,sadness
목이 바싹바싹 탄다,목감기 조심하세요.,neutral,fear
목이 뻐근해,목감기 조심하세요.,sadness,fear
목이 뻑뻑해,목감기 조심하세요.,sadness,fear
목이 칼칼해,목감기 조심하세요.,fear,fear
목표가 없어,목표가 있으면 도전해보세요.,sadness,neutral
목표가 없어서 걱정임,목표를 세워보세요.,sadness,neutral
몰라서 당했어,잘 모르겠어요.,sadness,neutral
몰랐구나,몰랐을 수도 있어요.,neutral,neutral
몸매가 탄탄하면 좋은데,몸매는 항상 좋죠.,sadness,neutral
몸무게 좀 줄었으면,다이어트 해보세요.,sadness,neutral
몸살 감기에 걸릴 거 같아,감기 조심하세요.,sadness,neutral
몸살 나서 힘들어,조금만 더 버텨보세요.,sadness,sadness
몸살 났나봐,감기 조심하세요.,fear,neutral
몸에 힘이 하나도 없어,운동해보세요.,sadness,neutral
몸에서 멀어지면 맘에서도 멀어진데,마음의 멀어진 만큼 더 멀어지지 않아요.,sadness,sadness
몸이 무거워,스트레칭을 해보세요.,sadness,neutral
몸이 여러 개면 좋겠다,운동하면 더 좋아져요.,sadness,neutral
몸이 영 찌뿌둥해,스트레칭을 해보세요.,neutral,neutral
몸이 찌뿌둥해,스트레칭을 해보세요.,neutral,neutral
몸이 천근만근이다,조금만 더 버텨보세요.,fear,sadness
못 알아들었어,잘 모르겠어요.,sadness,neutral
못하는 게 없는 사람,잘할 수 있을 거예요.,sadness,neutral
못하는거 투성이야,잘하고 있어요.,sadness,sadness
못하는게 너무 많아,할 수 있을 때 해보세요.,sadness,neutral
무기력증 극복하는 방법,스트레칭을 해보세요.,sadness,neutral
무기력증 어떻게 극복하지?,무기력한 사람은 자신을 더 힘들게 만들 뿐이에요.,sadness,sadness
무기력한 것일뿐,무기력한가봐요.,sadness,sadness
무기력해,무기력한가봐요.,sadness,sadness
무료 앱이 유료로 됐어,무료 앱 내려받기를 해보세요.,neutral,neutral
무릎 쑤셔,스트레칭을 해보세요.,sadness,neutral
무릎 아파,스트레칭을 해보세요.,sadness,neutral
무릎 안 좋으면 스쿼트 하면 안되겠지?,무릎이 안 좋으면 스쿼트도 안해요.,disgust,sadness
무리에 잘못 낀 듯,잘 챙겨주세요.,sadness,neutral
무사안일 기원,무사안일 기원합니다.,neutral,neutral
무서운 꿈 꿨어,꿈에서 깨어난 걸 수도 있어요.,fear,neutral
무서운 이야기 해줄까?,무서운 이야기 해주세요.,fear,neutral
무서워서 달려왔어,무서워서 달려왔나봐요.,fear,fear
무서워서 뛰어 왔어,무서워서 뛰어오세요.,fear,fear
무서워요,무서워하지 마세요.,fear,fear
무슨 말을 해야할까,먼저 다가가보세요.,neutral,neutral
무슨 매주 결혼식이야,결혼식이네요.,angry,neutral
무슨 생각해,생각만 해도 마음이 복잡하네요.,neutral,sadness
무슨 향수가 좋을까,향수는 향수가 아니에요.,neutral,neutral
무지 덥다,시원한 음료 드세요.,neutral,neutral
무한리필 가면 너무 돼지처럼 보일까,맛있게 드세요.,angry,neutral
무한리필 괜찮지 않아?,맛있게 드세요.,neutral,neutral
문 안열림,문 열면 사람들이 몰려요.,neutral,angry
문 여는 소리같은게 나서 무서움,문을 열어보세요.,sadness,neutral
문 잠겼는데 집에 아무도 없네,혼자만의 시간을 가져보세요.,sadness,sadness
문신하고 싶은데 후회할까?,후회하지 않을 자신이 있다면 하세요.,sadness,neutral
문신하면 후회하려나?,후회하지 않을 자신이 있다면 하세요.,neutral,neutral
문열다 옆차랑 부딪혔어.,조심하세요.,neutral,neutral
문이 안열려,문을 열어보세요.,neutral,neutral
문자보낼 친구도 없어,연락해보세요.,sadness,neutral
문콕당했어,괜찮아요.,fear,neutral
문콕한듯,문콕한 느낌이에요.,fear,fear
문화가 너무 다른 것 같아,다른 문화를 받아들이는 것도 중요해요.,angry,angry
문화센터 가야지,좋은 곳 가보세요.,angry,sadness
문화센터라도 가야겠다.,좋은 곳 가보세요.,angry,sadness
물 끓여서 차 마셔야지,얼른 드세요.,neutral,neutral
물 끓여야지,얼른 얼른 얼른 얼른 얼른 얼른 얼른 얼른 얼른 얼른 얼,neutral,fear
물 너무 차가워,물 많이 드세요.,sadness,neutral
물 마셔야지,얼른 주무세요.,disgust,neutral
물 마실라구,물 많이 드세요.,disgust,neutral
물 많이 마셔야 돼,적당히 드세요.,neutral,neutral
물 많이 마시라고 했는데,적당히 드세요.,neutral,neutral
물 자주 마셔야지,물 많이 드세요.,angry,neutral
물 좋은데 어디야?,물 좋죠.,neutral,neutral
물 주문해야지,맛있게 드세요.,neutral,neutral
물 차가워,물 한 잔 드세요.,sadness,neutral
물 한 잔 마시기,좋은 생각이에요.,neutral,neutral
물가 왤케 비쌈,물가를 올려보세요.,sadness,neutral
물가가 왜 이렇게 비쌈,물가가 안 올랐으면 좋겠어요.,sadness,sadness
물건 사는것도 힘드네,좋은 물건 사세요.,sadness,neutral
물걸레질해야지,물걸레질 해보세요.,neutral,neutral
물리치료 받아야 하나,물리치료는 물리치료보다 낫죠.,neutral,neutral
물리치료 받아야겠다,물리치료는 물리치료보다 낫죠.,neutral,neutral
물배달 시켜야겠다.,맛있게 드세요.,neutral,neutral
물이 안 나와,얼른 얼른 얼른 얼른 얼른 얼른 얼른 얼른 얼른 얼른 얼,disgust,fear
물이 안나온데,얼른 얼른 얼른 얼른 얼른 얼른 얼른 얼른 얼른 얼른 얼,angry,fear
뭐 먹을 거 없나,저랑 같이 먹어요.,neutral,neutral
뭐 먹을까?,저랑 같이 먹어요.,neutral,neutral
뭐 먹지?,저랑 같이 먹어요.,neutral,neutral
뭐 물어 볼까,궁금하면 연락해보세요.,neutral,neutral
뭐 볼까?,영화나 드라마가 좋죠.,neutral,neutral
뭐 이렇게 쉬운 게 없지,쉬운 게 없어요.,sadness,sadness
뭐 입고 가지?,운동복이나 운동화를 챙겨보세요.,disgust,neutral
뭐 입고 나가지?,옷은요.,neutral,neutral
뭐 입지?,옷은요.,neutral,neutral
뭐 좀 먹을까?,저랑 같이 먹어요.,neutral,neutral
뭐 좀 물어 봐도 돼,제가 물어보는게 좋을 것 같아요.,neutral,neutral
뭐 좀 배워볼까봐,공부하면 더 잘할 수 있을 거예요.,neutral,sadness
뭐 하는 중?,뭐든 잘하고 있어요.,neutral,sadness
뭐 하는지 궁금해,궁금하면 연락해보세요.,neutral,neutral
뭐 할줄 알아,제가 있어요.,angry,neutral
뭐 해?,뭐든 잘하고 있어요.,neutral,sadness
뭐 해주기가 싫어,제가 해주세요.,sadness,sadness
뭐가 잘못된 걸까,잘못된 건 고쳐보세요.,sadness,sadness
뭐가 중요한지 모르겠어,중요한 게 뭔지 생각해보세요.,neutral,neutral
뭐라 하려다 참았어,잘 참았네요.,sadness,neutral
뭐라고 하고 싶었는데 참았어,잘했어요.,sadness,neutral
뭐라고?,제가 있어요.,surprise,neutral
뭐라도 배워볼까,좋은 생각이에요.,neutral,neutral
뭐부터 바꿔야 할까,먼저 자신의 장점을 찾아보세요.,neutral,neutral
뭐야 너무 건방져,건방진 사람이네요.,disgust,neutral
뭐하고 놀지,놀아주세요.,neutral,neutral
뭐하고 살지,잘 살 거예요.,sadness,neutral
뭐하냐?,저는 그냥 친구예요.,neutral,neutral
뭐하는 분이세요?,저는 그분에게 의지하고 있어요.,neutral,neutral
뭐하면 시간이 잘 갈까,시간이 흐를수록 더 잘할 수 있을 거예요.,neutral,neutral
뭐하면 시간이 잘 갈까,시간이 흐를수록 더 잘할 수 있을 거예요.,neutral,neutral
뭐하면서 노는 게 좋을까,놀면서 하는 게 좋죠.,neutral,neutral
뭐하면서 놀까,놀고 싶은 곳이 어디든 좋아요.,neutral,sadness
뭐할까?,제가 있어요.,neutral,neutral
뭐해 먹지,맛있는 거 드세요.,neutral,neutral
뭔 날이여?,오늘이네요.,angry,neutral
뭔 비밀이 그렇게 많은지,비밀은 비밀이 아니에요.,sadness,neutral
뭔 참견이야,참견은 나쁜 거예요.,angry,angry
뭔가 뒷맛이 쓰다,후폭풍이 올 거예요.,sadness,neutral
뭔가 말해봐,제가 들어드릴게요.,neutral,neutral
뭔가 무섭다,무섭게 느껴지나요.,fear,fear
뭔가 배워볼까,배울 수 있을 거예요.,neutral,neutral
뭔가 불공평해,불공평한 게 없어요.,sadness,sadness
뭔가 새로운 자극이 필요해,새로운 자극을 찾아보세요.,sadness,neutral
뭔가 수상한데?,수상하다고 생각해요.,neutral,neutral
뭔가 자꾸 불안해,불안하면 불안해질 거예요.,fear,fear
뭔가 찔려,상처받지 마세요.,fear,sadness
뭔가 취미생활 필요해,취미생활은 취미생활이 아니에요.,sadness,neutral
뭔가 해야 할까,하고 싶은 일을 찾아보세요.,fear,sadness
뭘 바꿔야 할까,먼저 자신의 모습을 찾아보세요.,neutral,sadness
뭘 배워 볼까,먼저 자신의 장점을 찾아보세요.,neutral,neutral
뭘 잘못했다는 걸까,잘하고 있어요.,sadness,sadness
뭘 해도 재미없다.,재미있으면 재미있어요.,neutral,neutral
뭘하면 행복할까?,행복은 마음에서 우러나오는 거예요.,neutral,neutral
뭘해도 귀여워,저도요.,neutral,neutral
뭣이 중한지 모르겠어,잘 모르겠어요.,sadness,neutral
미끄러질 뻔했어,조심하세요.,neutral,neutral
미드 보고싶다,보고싶어도 못 볼 수도 있어요.,sadness,sadness
미래에 대한 고민,미래에 대한 두려움을 떨쳐버리세요.,neutral,sadness
미세먼지 나쁨인가,마스크 쓰고 나가세요.,sadness,neutral
미세먼지 때문에 짜증나,마스크 쓰고 나가세요.,angry,neutral
미세먼지 또 나쁨,마스크 쓰고 나가세요.,sadness,neutral
미세먼지 심하대,마스크 쓰고 나가세요.,angry,neutral
미세먼지 지수 뭐야?,마스크 쓰고 나가세요.,neutral,neutral
미세먼지 지수 어떻대?,마스크 쓰고 나가세요.,neutral,neutral
미세먼지 최악인데,마스크 쓰고 나가세요.,sadness,neutral
미세먼지가 너무 많아,마스크 쓰고 나가세요.,sadness,neutral
미세먼지가 너무 많아. 하늘이 뿌옇다.,마스크 쓰고 나가세요.,neutral,neutral
미세먼지가 너무 많아서 짜증나,마스크 쓰고 나가세요.,angry,neutral
미용 몸무게하고 싶다,다이어트 해보세요.,sadness,neutral
미용실 가서 머리해야지,머리 감는 게 좋죠.,sadness,neutral
미용실 가야지,미용실 가기 좋은 곳이네요.,neutral,sadness
미용실 갔다왔는데 티가 안 나,피부관리실 가보세요.,sadness,neutral
미용실에서 너무 티 안 나게 머리를 잘라줬어,미용실 가서 머리 감고 오세요.,sadness,neutral
미운 짓만 해,미워도 미워도 미워도 미워도 미워도 미워도 미워도,sadness,sadness
미워,미워도 미워도 미워도 미워도 미워도 미워도 미워도,sadness,sadness
미워한다,미워하지 마세요.,sadness,neutral
미친 사람들이 너무 많아,정신 차리세요.,disgust,neutral
미친듯이 덥다,시원한 음료 드세요.,angry,neutral
미팅한다!,좋은 소식이네요.,neutral,neutral
믿는 게 아니었어,믿게 되는 건 없어요.,neutral,neutral
믿지 말껄,믿어도 돼요.,sadness,neutral
밉다 진짜,미련이 남았나봐요.,angry,sadness
바나나 먹고 싶다.,맛있게 드세요.,neutral,neutral
바나나 먹어야지,맛있게 드세요.,neutral,neutral
바나나가 좋아,맛있게 드세요.,neutral,neutral
바다 가자고 하면 갈까?,같이 가자고 해보세요.,neutral,neutral
바다 놀러가고 싶다,저도 가고 싶어요.,neutral,sadness
바다 놀러가자고 해볼까?,같이 가자고 해보세요.,neutral,neutral
바다 보러 가자고 말해야겠다.,좋은 생각이에요.,neutral,neutral
바다 보러 가자고 해볼까,좋은 생각이에요.,neutral,neutral
바다가 가고 싶어요,저도 가고 싶어요.,sadness,sadness
바라는게 없어,원하는 게 있으면 들어주세요.,neutral,neutral
바라는게 없어,원하는 게 있으면 들어주세요.,neutral,neutral
바람 많이 부네,감기 조심하세요.,sadness,neutral
바람 분다,바람은 항상 자신을 힘들게 해요.,angry,sadness
바람 쐬러 나갈까,좋은 생각이에요.,neutral,neutral
바람쐬러 정동진가~~,좋은 생각이에요.,neutral,neutral
바람이 너무 많이 부네,감기 조심하세요.,sadness,neutral
바본가봐,바보는 바보예요.,neutral,neutral
바쁘네,바쁘게 지내세요.,neutral,neutral
바지 입을까? 치마 입을까?,바지 입어도 멋져요.,neutral,neutral
밖에 나가기 귀찮아,혼자만의 시간을 가져보세요.,sadness,sadness
밖에 안나가고 이렇게 살고 싶어,혼자 사는 게 힘들죠.,sadness,sadness
밖에서 먹으니까 더 맛있어,맛있게 드세요.,neutral,neutral
반 배정 내가 원하는 대로 될까,잘 될 거예요.,sadness,neutral
반 배정 잘 될까?,잘 될 거예요.,neutral,neutral
반 배정 좀 잘 됐으면 좋겠다,잘 되길 바랍니다.,sadness,neutral
반가워,저도 반가워요.,sadness,sadness
반가워,저도 반가워요.,sadness,sadness
반가워요 반갑구만,저도 반가워요.,sadness,sadness
반갑습니다.,반갑습니다.,neutral,neutral
반딧불이 보고싶다,보고싶어도 못 볼 수도 있어요.,sadness,sadness
반배정 망했어,잘했어요.,sadness,neutral
반배정부터 올해 끝났다.,이제부터 시작이에요.,neutral,neutral
반에 친구가 없어,친구는 없어요.,sadness,neutral
반장 나가볼까?,반장 나가면 더 힘들 거예요.,neutral,sadness
반장 선거 나가볼까,도전해보세요.,neutral,neutral
반장은 원래 힘들어?,반장이 힘들어하는 건 당연해요.,neutral,sadness
반장이라서 힘들어,반장답게 잘할 수 있을 거예요.,sadness,neutral
반지 많이 비쌀까,비쌀 때 사세요.,sadness,sadness
반지 뭘로 선물할까?,직접 사주세요.,neutral,neutral
반지 받았어,축하드려요.,sadness,neutral
반지 비싼가,비싸면 비싸요.,sadness,neutral
반지 선물 뭘로 할까?,직접 사오는 게 좋겠죠.,neutral,neutral
반지 선물하려고,좋은 선물이 될 거예요.,sadness,neutral
반지 선물하면 좋아하겠지,좋은 선물이 될 거예요.,neutral,neutral
반지 호수 모르는데,반지 호수 모르겠어요.,sadness,sadness
반지 호수 물어볼까,호수 물어보세요.,neutral,neutral
발 부었어,괜찮아요.,sadness,neutral
발 아파,약 먹고 쉬세요.,sadness,sadness
발레 배우려고,발레는 발레의 기본이죠.,neutral,neutral
발레 배워보려고,발레는 발레의 기본이죠.,neutral,neutral
발렌타인데이 선물 비싸,부담스럽지 않은 선물을 해보세요.,neutral,neutral
발렌타인데이 선물 줄 사람이 없어,직접 사오는 게 좋겠어요.,sadness,neutral
발렌타인데이 초콜릿 비싸,사탕을 사주세요.,neutral,neutral
발렌타인데이인데 줄 사람이 없어,발렌타인데이에는 줄 사람이 없네요.,angry,sadness
발목 다쳤어,괜찮아졌길 바랍니다.,sadness,neutral
발목 삐끗했어,스트레칭을 해보세요.,sadness,neutral
발목 삔 거 같애,스트레칭을 해보세요.,neutral,neutral
발목 접질렀어,스트레칭을 해보세요.,sadness,neutral
발목 접질렀어,스트레칭을 해보세요.,sadness,neutral
발톱 손질 받을까,발톱을 깎는 게 좋겠어요.,neutral,neutral
발표 무사히 끝내고 싶어,잘할 수 있을 거예요.,sadness,neutral
발표 잘 하고 싶어,잘할 수 있을 거예요.,sadness,neutral
발표 준비 너무 힘들어,잘할 수 있을 거예요.,sadness,neutral
발표 준비하느라 힘들어,잘할 수 있을 거예요.,sadness,neutral
발표가 안나,발표날짜를 확인해보세요.,neutral,neutral
발표할때 너무 떨려,떨리네요.,fear,sadness
발표할때 자꾸 떨려,떨리네요.,fear,sadness
밤 12시야,잠이 안 올 거예요.,neutral,neutral
밤 샜어,잠이 안 올 거예요.,disgust,neutral
밤샜어,잠이 안 올 거예요.,neutral,neutral
밤에 잠이 안 와,수면제라도 드세요.,angry,neutral
밥 너무 많이 남음,적당히 드세요.,sadness,neutral
밥 너무 많이 함,적당히 드세요.,disgust,neutral
밥 먹다 옷에 흘렸어,옷은 항상 챙겨 입으세요.,sadness,neutral
밥 먹다 흘렸어,얼른 씻고 오세요.,sadness,neutral
밥 먹어야지,맛있게 드세요.,neutral,neutral
밥 먹었는데 배고파,맛있게 드세요.,sadness,neutral
밥 먹었는데도 또 배고파,밥은 드세요.,sadness,neutral
밥 먹었니,맛있게 드세요.,neutral,neutral
밥 먹었어?,맛있게 드세요.,neutral,neutral
밥 뭐 먹을까,맛있게 드세요.,neutral,neutral
밥 잘 사주는 예쁜 누나 어디 없나,맛있는 거 드세요.,sadness,neutral
밥 탔다,맛있게 드세요.,sadness,neutral
밥 태웠어,맛있게 드세요.,neutral,neutral
밥먹자.,맛있게 드세요.,neutral,neutral
밥벌이 뭐하나,저랑 놀아요.,sadness,neutral
밥생각이 없어,밥은 먹고 살아야죠.,sadness,neutral
밥이 없어,밥은 드세요.,sadness,neutral
밥이나 먹자,맛있게 드세요.,neutral,neutral
방들이 귀찮아,방은 항상 귀찮아해요.,angry,angry
방들이 준비 뭐하지?,방은 여러 개예요.,neutral,neutral
방법도 안 말해주고 그냥 열심히 하래,잘할 수 있을 거예요.,angry,neutral
방심하는게 아니었어,방심하지 마세요.,neutral,neutral
방에 먼지가 한가득,청소기를 돌려보세요.,neutral,neutral
방탈출 게임 갔다왔어.,재미있겠네요.,neutral,neutral
방탈출 게임 했어,재미있겠네요.,neutral,neutral
방학 끝나서 좋아,방학이 참 짧죠.,neutral,sadness
방학 안 끝났으면 좋겠다,방학이 짧아서 그런가봐요.,sadness,sadness
방학에 만날 사람이 없네,방학에 만날 사람이 없네요.,sadness,sadness
방학은 너무 심심해,방학은 항상 재미있어요.,angry,neutral
방학이 끝났다니,방학이 끝나도 방학은 계속됩니다.,sadness,angry
방학이 있었으면 좋겠어,방학이 있었으면 좋겠어요.,neutral,neutral
방학이 있었으면.,방학이 있었으면 좋겠어요.,neutral,neutral
방학이 필요해,방학이 참 짧죠.,neutral,sadness
방학인데 집에만 있어.,집에만 있으면 더 힘들죠.,neutral,sadness
방학했더니 심심해,놀아주세요.,neutral,neutral
배 아파서 기분이 안 좋아,약을 드세요.,sadness,neutral
배 아프다,약 먹고 쉬세요.,sadness,sadness
배 터지겠네,배 터지면 배 터지겠네요.,disgust,disgust
배 터지겠다.,배 터지면 배 터지겠어요.,neutral,fear
배가 너무 고파,조금만 더 버텨보세요.,sadness,sadness
배가 넘넘 고파,조금만 더 버텨보세요.,sadness,sadness
배고파,맛있게 드세요.,sadness,neutral
배고파,맛있게 드세요.,sadness,neutral
배고파 죽을 것 같아 힘이 없어,밥은 드세요.,sadness,neutral
배고파서 일어났어,맛있게 드세요.,sadness,neutral
배고파서 자다 깼어,배고프면 밥 먹고 쉬세요.,neutral,sadness
배고파서 힘이 없어,맛있게 드세요.,sadness,neutral
배고프다.,밥은 드세요.,sadness,neutral
배고프당,맛있게 드세요.,sadness,neutral
배고프면 예민함?,예민한가봐요.,neutral,neutral
배고픈 거 같아,맛있게 드세요.,sadness,neutral
배달 중이래,배달을 하다보면 배달이 끝납니다.,neutral,neutral
배부르고 졸려,조금만 더 버텨보세요.,sadness,sadness
배부르니 졸리다,일찍 주무세요.,sadness,neutral
배불러,시원한 음료 드세요.,neutral,neutral
배불러,시원한 음료 드세요.,neutral,neutral
배불러서 배 터질 듯,시원한 음료 드세요.,disgust,neutral
배송 중이래,배송을 기다리는 동안 마음이 허전했나봐요.,neutral,sadness
배에서 꾸룩꾸룩 소리 남,배에서 소리가 나면 배에서 소리가 난 거예요.,disgust,angry
배에서 소리 남,배에서 소리가 나면 배에서 소리가 난 거예요.,fear,angry
배워도 모르는 게 너무 많아,배워도 모르는 게 너무 많아요.,sadness,sadness
배터리 간당간당,충전하고 오세요.,angry,neutral
백조됐어,잘할 수 있을 거예요.,neutral,neutral
뱃살 나온 거 같아,뱃살은 좀 빼주세요.,neutral,neutral
뱃살 나와,다이어트 해보세요.,disgust,neutral
뱃살 빵빵,뱃살은 빼주세요.,neutral,neutral
뱃살이 잡혀,뱃살은 빼세요.,neutral,neutral
버려야 되는데..,버려야 할 때가 됐나봐요.,sadness,sadness
버리기 아까운데 리폼 해볼까,리폼은 생각보다 간단하답니다.,neutral,neutral
버릴 건 버려야 겠지,버릴 건 버려야죠.,sadness,sadness
버림 받은 느낌,버림 받은 느낌은 더 힘들어요.,sadness,sadness
버스 기다릴 때 가면 자꾸 생각나,대중교통을 이용해보세요.,angry,neutral
버스 끊겼다,대중교통을 이용해보세요.,sadness,neutral
버스 멀미나,대중교통을 이용해보세요.,sadness,neutral
버스 멀미하는 것 같아,조심하세요.,sadness,neutral
버스 정류장에서 기다리고 있었어.,정류장에서 기다리다가 정류장에 내리세요.,neutral,neutral
버스 정류장에서 기다리던 사람,버스 정류장에서 기다리다가 정류장에 내리세요.,angry,neutral
버스 정류장하면 생각나,정류장 가는 길이요.,sadness,neutral
버스가 안와,대중교통을 이용해보세요.,sadness,neutral
버스가 왜이렇게 안오지,대중교통을 이용해보세요.,sadness,neutral
버스에서 매일 보는 사람,매일 보는 사람인가봐요.,angry,neutral
버스타면 힘든데 그냥 택시탈까,버스타고 나면 더 힘들 거예요.,sadness,sadness
버스탈까 택시탈까,대중교통을 이용해보세요.,sadness,neutral
번호 달라고 해볼까?,연락해보세요.,neutral,neutral
번호 따볼까나,연락해보세요.,neutral,neutral
번호키 누르는 소리가 나서 무서움,신고하세요.,sadness,neutral
벌써 개강이라니,좋은 시작이네요.,angry,neutral
벌써 방학 끝이라니,방학이 참 짧죠.,angry,sadness
벌써 생활비가 없어,저축을 해보세요.,sadness,neutral
벌써 잠 와,잠이 안 올 거예요.,angry,neutral
벌써 허기진다,허기지지 마세요.,sadness,neutral
법을 요리조리 피해가는 사람,법을 잘 몰라서 그런가봐요.,angry,sadness
법을 피해가는 사람,법을 어기면 벌을 받죠.,angry,angry
벗어나고 싶어,좋은 생각이에요.,sadness,neutral
벚꽃 예쁘다,저도요.,neutral,neutral
벚꽃구경 가고싶다.,벚꽃 구경 가세요.,neutral,neutral
벚꽃이 너무 예뻐,저도요.,happiness,neutral
베란다 좀 가꿔볼까,베란다를 가꾸면 더 좋죠.,fear,neutral
베란다도 꾸미니까 예쁘더라.,베란다 꾸미기 좋죠.,neutral,neutral
베란다에 뭐 심어볼까,베란다에 꽃꽂이 해보세요.,fear,neutral
베터리 15%야,충전하고 오세요.,neutral,neutral
베터리 겨우 15%야,충전하고 오세요.,neutral,neutral
베터리 충전기도 안 가져 왔네,충전기를 가져오세요.,sadness,neutral
베트남 사업하기 좋을 것 같니?,좋은 소식이네요.,neutral,neutral
베트남어 배우는 거 어떻게 생각해?,베트남어 공부하면 더 좋죠.,neutral,neutral
베트남어 배울까,베트남어 공부해보세요.,sadness,neutral
베트남에서 사업해볼까?,좋은 생각이에요.,neutral,neutral
베프랑 다툼,서로 존중하고 배려하는 마음을 가져보세요.,sadness,sadness
베프랑 싸움,싸우면서 이겨보세요.,sadness,neutral
벨이 울리는 걸 기다려,벨소리 안 울려도 돼요.,angry,sadness
변기 막혔는데 아무 생각이 안 난다.,얼른 얼른 얼른 얼른 얼른 얼른 얼른 얼른 얼른 얼른 얼,sadness,fear
변기 막혔어,얼른 얼른 얼른 얼른 얼른 얼른 얼른 얼른 얼른 얼른 얼,sadness,fear
변명거리 생각해봐,변명이란 항상 좋은 것만은 아니에요.,neutral,neutral
변명거리가 생각이 안나,변명이란 항상 있는 거예요.,sadness,angry
변한게 없어,더 좋은 사람이 나타날 거예요.,sadness,sadness
변한게 하나도 없어,더 좋은 사람이 나타날 거예요.,sadness,sadness
변화가 없어,변화도 필요해요.,angry,neutral
변화를 좀 주고 싶다.,변화를 줘보세요.,angry,angry
별 보러 가고 싶다,저도 가고 싶어요.,sadness,sadness
별 보러 시골 가고 싶다,시골에서 놀다 오세요.,sadness,neutral
별 사람이 많다,저도요.,disgust,neutral
별 일 없었어?,별일 없었길 바랄게요.,neutral,sadness
별거 아닌데 떨려,떨리네요.,fear,sadness
별것도 아닌 거 가지고 트집잡는 사람 어떡해?,사람마다 다르겠지만 사람마다 다르겠죠.,angry,neutral
별님에게 물어 보렴,별님에게 물어보세요.,neutral,neutral
별다른 게 없는 일상,아무것도 하지 않는 게 좋죠.,sadness,neutral
별다른 게 없어,아무것도 하지 마세요.,sadness,neutral
별다를 게 없는 하루,하루 종일 아무 생각 없이 지냈나봐요.,sadness,sadness
별들에게 물어봐,별들이 다 있나봐요.,neutral,neutral
별의별 사람이 다 있는 듯,별별 사람들이 다 있네요.,angry,angry
별이 안 보여,별이 보이지 않는 곳에서 더 많이 사랑해주세요.,angry,sadness
병무청 시계는 지금도 간다,시간이 흐르면 더 빨라질 거예요.,angry,angry
병원 가기 싫어,병원 가기 싫어도 가야죠.,sadness,sadness
병원 너무 가기 싫다,병원 가기 싫어도 가야죠.,sadness,sadness
